epoch_for_cdf_mod,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-25 00:00:30.364,3.799473729846858,-1e+31,428.4780528897643,-1e+31,-428.4780528897643,-3.6385494106017475,-14.464531481228967,43.74322530961768,-1e+31,0.11847270658676542,-1e+31,425.2887372834364,-1e+31,39.489150342071646,-1e+31,1275840.0651609052,50889.65293721408,-105899.20236519101
2025-06-25 00:00:35.364,4.103319074577352,-1e+31,426.30198813557735,-1e+31,-426.30198813557735,2.6814004232125086,-16.778996784630188,45.95325053183429,-1e+31,0.1297829103073517,-1e+31,423.83753837623544,-1e+31,40.16686166025582,-1e+31,1275840.0856208256,50891.16781330673,-105899.17809452006
2025-06-25 00:00:40.365,4.288023024083809,-1e+31,425.33413956466836,-1e+31,-425.33413956466836,-3.179245749661675,-17.284563641729562,46.441188170179345,-1e+31,0.12691824836750468,-1e+31,423.1433445796204,-1e+31,41.5606116495823,-1e+31,1275840.1060810275,50892.682749813524,-105899.15382239036
2025-06-25 00:00:45.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.748713791199634,-14.881335867746294,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.1265406841,50894.19768610789,-105899.12954969722
2025-06-25 00:00:50.365,4.138671003228937,-1e+31,425.0851075353943,-1e+31,-425.0851075353943,-6.45370721611242,-16.025210487777287,45.42281612943195,-1e+31,0.12659109941874117,-1e+31,421.7735118445524,-1e+31,40.50102708966758,-1e+31,1275840.1469993482,50895.712591914686,-105899.10527693696
2025-06-25 00:00:55.365,4.317721832995811,-1e+31,423.0532396703137,-1e+31,-423.0532396703137,-0.13865775874489827,-12.010055304134156,46.32548440590424,-1e+31,0.1308776584750818,-1e+31,420.7771780949152,-1e+31,40.81675631944989,-1e+31,1275840.167457888,50897.22752782797,-105899.08100311208
2025-06-25 00:01:00.365,4.301327560485918,-1e+31,421.8843870590437,-1e+31,-421.8843870590437,-1.7660420653830968,-21.2645073948272,45.77488983217647,-1e+31,0.12441738186818678,-1e+31,420.37894217330745,-1e+31,45.71654383175574,-1e+31,1275840.1879154001,50898.74243324537,-105899.05672922207
2025-06-25 00:01:05.365,4.349761514702148,-1e+31,421.5354888887842,-1e+31,-421.5354888887842,-0.646568115756633,-19.64837910296396,46.35037894875975,-1e+31,0.13526846674886892,-1e+31,419.351526412341,-1e+31,45.65811238532608,-1e+31,1275840.208372821,50900.25736873787,-105899.03245433158
2025-06-25 00:01:10.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.686653751177282,-13.218008393355518,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.228828895,50901.772243496685,-105899.00817989244
2025-06-25 00:01:15.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.945853850909863,-19.479215437901956,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.2492852162,50903.28717859222,-105898.98390390264
2025-06-25 00:01:20.365,4.34371027084454,-1e+31,421.11220027870144,-1e+31,-421.11220027870144,1.7779916050165774,-16.321129000373958,46.440040517165365,-1e+31,0.13502297935740448,-1e+31,418.4213101239829,-1e+31,44.73567287122467,-1e+31,1275840.2697414495,50904.80214383568,-105898.95962685312
2025-06-25 00:01:25.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.647731809423817,-18.003026838027772,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.2901954025,50906.31698767171,-105898.93535122182
2025-06-25 00:01:30.365,4.337824109391102,-1e+31,421.6180687344438,-1e+31,-421.6180687344438,-3.3479633051094666,-13.288073285937152,46.31018118164291,-1e+31,0.13446844689661827,-1e+31,420.5496405455971,-1e+31,47.56655257696445,-1e+31,1275840.3106504672,50907.83195252411,-105898.91107308317
2025-06-25 00:01:35.365,4.285701230179203,-1e+31,422.68101916077717,-1e+31,-422.68101916077717,-0.7245214783276275,-17.152725773743775,46.887191500871175,-1e+31,0.1390184256289268,-1e+31,419.810199981181,-1e+31,46.90121977307431,-1e+31,1275840.3311041354,50909.346856578304,-105898.88679541118
2025-06-25 00:01:40.365,4.2408619064815944,-1e+31,420.76058671466797,-1e+31,-420.76058671466797,-3.245009529261715,-15.060418961780776,45.854755689252535,-1e+31,0.12459001409831086,-1e+31,417.4349961743119,-1e+31,42.90520851367555,-1e+31,1275840.3515573072,50910.861760431384,-105898.86251713982
2025-06-25 00:01:45.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.7389375205823505,-15.550733248717002,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.372010321,50912.37669439584,-105898.8382378858
2025-06-25 00:01:50.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.3408299058786,-13.713979732494977,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.3924623758,50913.89159786416,-105898.81395855587
2025-06-25 00:01:55.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.5390638934025276,-14.921409647341896,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.4129146622,50915.40656174236,-105898.78967766353
2025-06-25 00:02:00.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-0.05268804612734712,-15.871699595133322,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.4333648263,50916.92140420928,-105898.76539819402
2025-06-25 00:02:05.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.6454113944844977,-16.66242252534088,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.4538159957,50918.43636769816,-105898.74111624318
2025-06-25 00:02:10.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-0.449493080837037,-16.03489995904782,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.4742662334,50919.95130068648,-105898.71683422849
2025-06-25 00:02:15.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-0.2900736321816204,-18.618504477997522,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.494715102,50921.46617286652,-105898.69255261199
2025-06-25 00:02:20.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-4.392934633511885,-9.415317538073161,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.5151643017,50922.981105468374,-105898.66826950776
2025-06-25 00:02:25.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.8139602896430347,-10.790830278877976,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.535612478,50924.49600756855,-105898.64398632455
2025-06-25 00:02:30.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.871804443482368,-18.29897200635045,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.5560605114,50926.010939734915,-105898.61970211088
2025-06-25 00:02:35.365,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-5.187067905599093,-13.63685935994004,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.5765076305,50927.52584143763,-105898.59541787917
2025-06-25 00:02:40.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-0.2754180037733249,-18.062429873122465,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.5969544938,50929.040773304,-105898.57113253046
2025-06-25 00:02:45.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.1279399529608938,-20.659386037690663,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.6174005251,50930.55567461209,-105898.5468471719
2025-06-25 00:02:50.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.3433815255323083,-16.61190738939571,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.6378459132,50932.070575742604,-105898.52256125555
2025-06-25 00:02:55.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.291320691115274,-8.926204304029518,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.6582915694,50933.58553723661,-105898.49827383447
2025-06-25 00:03:00.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-4.472534036628659,-16.280658340043082,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.6787359547,50935.10043796109,-105898.47398681985
2025-06-25 00:03:05.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.9635071225558036,-11.415675534480442,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.699179666,50936.61533850324,-105898.44969924248
2025-06-25 00:03:10.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-5.312629929853614,-20.607101424849617,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.7196233138,50938.13026914686,-105898.42541069031
2025-06-25 00:03:15.366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-5.808828153604175,-18.938780129683035,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275840.7400659951,50939.64516929015,-105898.40112200275
